iter	Logloss
0	0.5497362842
1	0.4533966806
2	0.39042572
3	0.3467823941
4	0.3173037073
5	0.2941429278
6	0.2764302501
7	0.2611898161
8	0.2503738856
9	0.240992501
10	0.2342604423
11	0.2265654284
12	0.2214732338
13	0.2166220907
14	0.2127838041
15	0.2094552991
16	0.206231694
17	0.2036074148
18	0.2010998877
19	0.1990307016
20	0.1972762647
21	0.195558107
22	0.1938417847
23	0.1924690998
24	0.1912167406
25	0.1901627635
26	0.1889644676
27	0.1880275637
28	0.187244442
29	0.1862646194
30	0.1853281125
31	0.1844976074
32	0.1836127522
33	0.1829309754
34	0.1823381997
35	0.1818241949
36	0.181238938
37	0.1807214273
38	0.1802923786
39	0.1797350711
40	0.1792506531
41	0.1786256736
42	0.1780124612
43	0.1776181056
44	0.1772143934
45	0.1769074884
46	0.1765753055
47	0.1761945449
48	0.1758037035
49	0.1754700528
50	0.175140931
51	0.174871591
52	0.1745877474
53	0.17429126
54	0.1739560172
55	0.1736463136
56	0.1734149301
57	0.1731738726
58	0.1729552953
59	0.1727647084
60	0.1725583911
61	0.1723798726
62	0.1721764234
63	0.1719843737
64	0.1718049085
65	0.1716771193
66	0.1715204961
67	0.1713205237
68	0.1711692926
69	0.1710286074
70	0.1708883794
71	0.1707410584
72	0.1705769011
73	0.1704405131
74	0.1703173699
75	0.1701988506
76	0.1700724411
77	0.1699429814
78	0.1697733474
79	0.1696145101
80	0.1695215974
81	0.1694260864
82	0.1692972857
83	0.1691710374
84	0.1691026924
85	0.1690044816
86	0.1688939384
87	0.1688302609
88	0.1687375297
89	0.1686626635
90	0.1685525097
91	0.1684710497
92	0.1684320334
93	0.1683767385
94	0.1682628732
95	0.1681805215
96	0.1681184011
97	0.1679868982
98	0.1679340978
99	0.167864438
100	0.1678087103
101	0.1677260633
102	0.1676496121
103	0.1675464119
104	0.1674650764
105	0.1673850754
106	0.1673101686
107	0.1672313738
108	0.1671733486
109	0.1671060937
110	0.1670430437
111	0.1669880386
112	0.1669089918
113	0.1668475163
114	0.1667561859
115	0.1667114885
116	0.1666548794
117	0.1665981514
118	0.1665394888
119	0.1664965832
120	0.1664389076
121	0.1663626609
122	0.1662919231
123	0.1662095324
124	0.1661595187
125	0.1661182569
126	0.1660707692
127	0.1659950262
128	0.1658838326
129	0.1658142497
130	0.1657536532
131	0.165706027
132	0.1656543201
133	0.1656147691
134	0.1655779752
135	0.1655339722
136	0.1654619313
137	0.1654061212
138	0.1653564167
139	0.1653254481
140	0.1652799947
141	0.1652195055
142	0.1651653755
143	0.1651267463
144	0.1650809821
145	0.1650364666
146	0.164965896
147	0.1649323859
148	0.1648845872
149	0.164848942
150	0.1647800125
151	0.1647378048
152	0.1646985206
153	0.1646508473
154	0.1646241445
155	0.1645644844
156	0.1645251798
157	0.1644537701
158	0.1643952327
159	0.1643657108
160	0.1643295268
161	0.1642723065
162	0.1642171312
163	0.164178973
164	0.1641475472
165	0.1641077371
166	0.1640733728
167	0.1640085765
168	0.1639641364
169	0.1639407383
170	0.1639195627
171	0.1638967645
172	0.1638667435
173	0.163800252
174	0.163783367
175	0.1637428302
176	0.1637157835
177	0.1636685405
178	0.1636296653
179	0.1636017105
180	0.1635611937
181	0.1635391595
182	0.1635092578
183	0.1634683827
184	0.1634389458
185	0.1633967341
186	0.163370265
187	0.1633351115
188	0.1633034176
189	0.1632751911
190	0.1632459239
191	0.1632045165
192	0.1631653879
193	0.1631319922
194	0.1631039256
195	0.1630606637
196	0.163043646
197	0.1630137686
198	0.162952409
199	0.1629311513
200	0.1628731401
201	0.16283502
202	0.1628086754
203	0.1627769441
204	0.1627571527
205	0.1627381607
206	0.1627062074
207	0.1626866029
208	0.1626465073
209	0.1626217368
210	0.1625987159
211	0.1625779958
212	0.1625432229
213	0.1625143903
214	0.1624892065
215	0.162463816
216	0.162432302
217	0.1624079368
218	0.1623902591
219	0.162370823
220	0.1623558693
221	0.1623377338
222	0.1623248397
223	0.1623090722
224	0.1622676863
225	0.1622488122
226	0.1622302887
227	0.1622029905
228	0.1621664163
229	0.162151071
230	0.1621243997
231	0.1621108196
232	0.1620939304
233	0.1620746975
234	0.1620506899
235	0.1620240043
236	0.1619910282
237	0.1619624359
238	0.1619280001
239	0.1618975936
240	0.1618642439
241	0.1618493413
242	0.1618219637
243	0.1617989982
244	0.1617755148
245	0.1617493814
246	0.1617210514
247	0.1617007257
248	0.1616666558
249	0.1616431088
250	0.1616270403
251	0.1615997546
252	0.1615720698
253	0.1615464457
254	0.1615254287
255	0.161494439
256	0.1614601129
257	0.1614413502
258	0.1614193669
259	0.1613892513
260	0.1613667714
261	0.1613489544
262	0.1613233193
263	0.1612949354
264	0.1612758135
265	0.1612680554
266	0.1612387206
267	0.1612292412
268	0.1612046786
269	0.1611783152
270	0.1611583169
271	0.1611366778
272	0.1610954847
273	0.1610715643
274	0.1610579481
275	0.1610421384
276	0.1610369023
277	0.1610195734
278	0.1609982577
279	0.1609784955
280	0.1609431697
281	0.1609168768
282	0.1608977759
283	0.1608766703
284	0.1608552719
285	0.1608245249
286	0.1608083065
287	0.1607973918
288	0.1607770903
289	0.1607626075
290	0.1607319081
291	0.1607057216
292	0.1606808795
293	0.1606672768
294	0.1606482542
295	0.160632154
296	0.1606270964
297	0.160606142
298	0.1605901942
299	0.1605633181
300	0.1605540614
301	0.160532522
302	0.1605108665
303	0.160494615
304	0.1604659072
305	0.1604478868
306	0.1604247725
307	0.1604090623
308	0.1603916105
309	0.1603709079
310	0.1603507895
311	0.1603394431
312	0.1603260172
313	0.1603065701
314	0.1602911128
315	0.1602735689
316	0.1602595012
317	0.160224511
318	0.1602031491
319	0.1601770408
320	0.1601577931
321	0.1601281847
322	0.1601069164
323	0.1600888772
324	0.1600790757
325	0.1600540744
326	0.1600280564
327	0.1600067676
328	0.1599846593
329	0.1599552613
330	0.1599461807
331	0.159919681
332	0.1598954953
333	0.1598787459
334	0.1598541175
335	0.1598305376
336	0.1598129729
337	0.1598004929
338	0.159782521
339	0.1597602632
340	0.1597381321
341	0.1597088148
342	0.1597047354
343	0.1596843514
344	0.1596669079
345	0.1596488668
346	0.1596323856
347	0.1596100399
348	0.1595925917
349	0.1595814482
350	0.1595652136
351	0.1595533836
352	0.1595395142
353	0.1595255137
354	0.1595035813
355	0.1594828266
356	0.1594775235
357	0.159442028
358	0.1594243325
359	0.1594037476
360	0.159386942
361	0.1593709382
362	0.1593502861
363	0.1593342586
364	0.1593175547
365	0.1592989326
366	0.1592732016
367	0.1592528535
368	0.1592372631
369	0.159218812
370	0.1591999282
371	0.1591884508
372	0.159175354
373	0.1591536787
374	0.1591354165
375	0.1591289067
376	0.1591107344
377	0.1590875026
378	0.159078249
379	0.1590632021
380	0.1590542043
381	0.15902964
382	0.1590165502
383	0.1590087952
384	0.1589904094
385	0.1589699523
386	0.1589496385
387	0.1589303464
388	0.1589150656
389	0.1588956908
390	0.1588764068
391	0.1588622559
392	0.158838397
393	0.1588100479
394	0.1588041459
395	0.158787182
396	0.1587614913
397	0.1587537813
398	0.1587393713
399	0.1587193763
400	0.1587005101
401	0.1586907402
402	0.1586676894
403	0.1586513013
404	0.1586342942
405	0.1586215769
406	0.158597234
407	0.158571444
408	0.1585515576
409	0.1585400944
410	0.1585188844
411	0.1585078593
412	0.1584919818
413	0.158475035
414	0.158459148
415	0.1584402905
416	0.1584377643
417	0.1584145016
418	0.1583957916
419	0.1583795881
420	0.1583647617
421	0.1583493391
422	0.1583293849
423	0.158318167
424	0.158299519
425	0.1582771704
426	0.1582543226
427	0.1582398047
428	0.1582170611
429	0.1581971248
430	0.1581812156
431	0.1581666459
432	0.1581523269
433	0.1581370398
434	0.1581263731
435	0.1581108621
436	0.1580922227
437	0.1580809933
438	0.1580651965
439	0.1580449493
440	0.1580322427
441	0.1580264056
442	0.158017635
443	0.15799934
444	0.1579812102
445	0.1579692254
446	0.1579476414
447	0.1579351405
448	0.1579188131
449	0.1579008617
450	0.1578847016
451	0.1578638948
