iter	Passed	Remaining
0	73	73613
1	138	69263
2	209	69759
3	275	68572
4	338	67415
5	435	72215
6	494	70152
7	559	69318
8	634	69848
9	686	68004
10	747	67164
11	802	66093
12	875	66504
13	933	65746
14	1003	65907
15	1055	64905
16	1130	65389
17	1194	65171
18	1260	65081
19	1321	64765
20	1395	65058
21	1459	64890
22	1517	64458
23	1598	65022
24	1653	64505
25	1714	64235
26	1774	63962
27	1849	64218
28	1897	63542
29	1961	63435
30	2041	63815
31	2104	63661
32	2161	63323
33	2230	63374
34	2301	63459
35	2382	63805
36	2440	63527
37	2520	63802
38	2586	63743
39	2656	63752
40	2726	63764
41	2806	64011
42	2891	64360
43	2974	64623
44	3028	64268
45	3093	64151
46	3158	64038
47	3228	64032
48	3304	64133
49	3365	63950
50	3433	63894
51	3501	63842
52	3564	63698
53	3632	63631
54	3707	63705
55	3779	63718
56	3842	63568
57	3920	63677
58	3982	63523
59	4050	63452
60	4131	63602
61	4189	63388
62	4253	63256
63	4326	63276
64	4437	63837
65	4564	64594
66	4664	64950
67	4786	65596
68	4887	65944
69	4977	66128
70	5061	66224
71	5150	66381
72	5243	66583
73	5341	66845
74	5414	66783
75	5503	66914
76	5577	66856
77	5663	66948
78	5749	67030
79	5806	66775
80	5881	66729
81	5949	66609
82	6031	66632
83	6088	66395
84	6160	66311
85	6228	66199
86	6286	65967
87	6352	65834
88	6419	65710
89	6501	65734
90	6572	65657
91	6648	65616
92	6714	65482
93	6786	65413
94	6855	65310
95	6931	65274
96	7007	65235
97	7080	65164
98	7137	64960
99	7217	64961
100	7279	64796
101	7338	64609
102	7405	64494
103	7474	64397
104	7535	64228
105	7593	64046
106	7674	64046
107	7741	63937
108	7809	63834
109	7861	63603
110	7941	63599
111	8023	63613
112	8115	63704
113	8244	64079
114	8347	64240
115	8407	64072
116	8476	63975
117	8529	63757
118	8575	63484
119	8625	63254
120	8691	63138
121	8738	62886
122	8800	62744
123	8856	62564
124	8923	62463
125	9010	62500
126	9069	62341
127	9131	62206
128	9193	62072
129	9261	61982
130	9326	61865
131	9370	61618
132	9425	61445
133	9504	61422
134	9563	61277
135	9613	61075
136	9689	61035
137	9749	60899
138	9802	60721
139	9861	60579
140	9919	60430
141	9973	60263
142	10031	60119
143	10093	59998
144	10157	59892
145	10218	59770
146	10276	59631
147	10372	59713
148	10433	59588
149	10492	59455
150	10544	59289
151	10605	59166
152	10671	59077
153	10726	58925
154	10785	58798
155	10853	58718
156	10904	58549
157	10955	58384
158	11009	58231
159	11055	58041
160	11111	57902
161	11166	57761
162	11235	57692
163	11298	57596
164	11354	57460
165	11417	57361
166	11483	57278
167	11540	57152
168	11588	56983
169	11641	56839
170	11697	56708
171	11746	56547
172	11798	56403
173	11854	56272
174	11903	56115
175	11952	55960
176	12000	55799
177	12048	55641
178	12117	55578
179	12166	55425
180	12209	55247
181	12254	55076
182	12310	54958
183	12355	54796
184	12412	54681
185	12466	54556
186	12514	54408
187	12568	54283
188	12620	54155
189	12670	54016
190	12726	53905
191	12785	53803
192	12838	53680
193	12887	53544
194	12947	53450
195	13004	53346
196	13056	53219
197	13112	53110
198	13171	53016
199	13240	52961
200	13299	52865
201	13357	52767
202	13416	52675
203	13481	52604
204	13534	52488
205	13595	52400
206	13648	52285
207	13696	52150
208	13752	52048
209	13808	51946
210	13862	51835
211	13920	51740
212	13969	51615
213	14022	51503
214	14070	51373
215	14117	51241
216	14169	51127
217	14217	50999
218	14265	50873
219	14322	50780
220	14380	50689
221	14439	50603
222	14494	50502
223	14548	50400
224	14588	50248
225	14634	50120
226	14687	50014
227	14739	49907
228	14790	49797
229	14837	49673
230	14896	49588
231	14945	49476
232	15000	49379
233	15064	49312
234	15121	49226
235	15172	49118
236	15223	49009
237	15274	48904
238	15325	48799
239	15375	48688
240	15424	48578
241	15472	48463
242	15525	48364
243	15573	48252
244	15617	48128
245	15661	48003
246	15713	47904
247	15762	47797
248	15816	47704
249	15866	47598
250	15924	47520
251	15986	47451
252	16037	47352
253	16085	47243
254	16136	47142
255	16185	47038
256	16236	46941
257	16289	46848
258	16345	46764
259	16397	46668
260	16463	46614
261	16560	46648
262	16614	46557
263	16657	46439
264	16702	46325
265	16743	46201
266	16785	46080
267	16830	45969
268	16872	45849
269	16918	45742
270	16958	45619
271	17009	45526
272	17055	45420
273	17103	45317
274	17147	45208
275	17199	45117
276	17247	45017
277	17301	44935
278	17347	44829
279	17395	44730
280	17438	44619
281	17488	44527
282	17546	44455
283	17590	44348
284	17637	44248
285	17679	44135
286	17751	44099
287	17838	44100
288	17892	44018
289	17942	43928
290	17983	43816
291	18041	43743
292	18081	43629
293	18120	43512
294	18160	43400
295	18199	43285
296	18253	43205
297	18301	43113
298	18343	43006
299	18378	42883
300	18415	42764
301	18453	42651
302	18493	42540
303	18537	42442
304	18579	42337
305	18623	42237
306	18666	42136
307	18724	42068
308	18770	41975
309	18814	41877
310	18860	41783
311	18904	41686
312	18963	41623
313	19020	41554
314	19069	41467
315	19109	41363
316	19147	41253
317	19196	41168
318	19235	41063
319	19282	40974
320	19321	40869
321	19361	40766
322	19397	40656
323	19436	40551
324	19472	40441
325	19526	40369
326	19574	40286
327	19624	40206
328	19661	40100
329	19697	39992
330	19743	39904
331	19791	39822
332	19834	39728
333	19878	39638
334	19927	39556
335	19976	39477
336	20020	39388
337	20065	39299
338	20104	39200
339	20143	39102
340	20183	39006
341	20228	38919
342	20271	38829
343	20309	38730
344	20362	38659
345	20410	38580
346	20456	38495
347	20503	38413
348	20545	38323
349	20583	38226
350	20624	38134
351	20667	38047
352	20711	37961
353	20746	37858
354	20793	37780
355	20824	37671
356	20869	37587
357	20910	37499
358	20950	37407
359	20990	37316
360	21045	37252
361	21086	37164
362	21125	37072
363	21165	36980
364	21204	36890
365	21243	36798
366	21286	36715
367	21323	36621
368	21366	36537
369	21405	36447
370	21442	36354
371	21479	36261
372	21518	36172
373	21557	36082
374	21596	35994
375	21633	35902
376	21673	35815
377	21710	35724
378	21746	35632
379	21785	35545
380	21825	35459
381	21860	35365
382	21907	35291
383	21950	35212
384	21988	35125
385	22035	35051
386	22079	34973
387	22115	34883
388	22153	34796
389	22195	34715
390	22238	34638
391	22278	34554
392	22321	34475
393	22359	34390
394	22401	34311
395	22444	34233
396	22485	34153
397	22525	34071
398	22564	33987
399	22603	33905
400	22645	33826
401	22681	33740
402	22721	33659
403	22760	33577
404	22802	33500
405	22841	33417
406	22929	33409
407	22963	33319
408	22998	33233
409	23030	33140
410	23060	33048
411	23091	32955
412	23121	32863
413	23151	32770
414	23190	32690
415	23267	32664
416	23293	32565
417	23323	32474
418	23346	32372
419	23366	32268
420	23386	32163
421	23407	32060
422	23430	31961
423	23452	31859
424	23473	31758
425	23495	31658
426	23518	31560
427	23542	31462
428	23564	31363
429	23589	31269
430	23611	31171
431	23638	31080
432	23664	30988
433	23687	30892
434	23709	30795
435	23730	30697
436	23752	30601
437	23774	30505
438	23798	30412
439	23820	30317
